id,year,month,day,timezone,state,statefipsno,stateno,magnitude,injuries,fatalities,loss,croploss,startinglatitude,startinglongitude,endinglatitude,endinglongitude,length,width,temperature1,temperature2,dewpointtemp1,dewponittemp2,solarradiation,precipitation,relativehumidity,speed,hours,minutes
49,1950,4,2,3,AR,5,9,3,8,1,3,0,35.75,-91.22,0,0,2.5,10,8.6,8.7,-0.2,1.7,0,0,0.54,58,15,30
50,1950,4,2,3,OK,40,3,2,0,0,4,0,35.82,-97.02,0,0,1,100,8.2,8.7,0,1.9,0,0,0.56,59,18,0
51,1950,4,2,3,AR,5,10,1,0,0,3,0,35.98,-89.92,0,0,0.8,100,8,8.9,0.2,2.1,0,0,0.58,58,18,0
52,1950,4,3,3,OK,40,4,1,0,0,3,0,36.13,-95.83,0,0,1,33,8,8.9,0.4,2.1,0,0,0.59,74,16,15
53,1950,4,18,3,AL,1,1,3,15,0,4,0,30.67,-88.2,30.85,-88.1,14,100,7.8,8.4,0.6,2.2,0,0,0.61,71,1,30
54,1950,4,18,3,AL,1,2,2,0,0,3,0,30.7,-87.92,0,0,2,150,7.9,8.7,-0.5,0.5,0,0,0.55,56,1,45
55,1950,4,24,3,LA,22,11,1,0,0,4,0,30.1,-90.03,0,0,2,100,7.7,9.2,-2.5,-1.8,0,0,0.47,45,7,45
56,1950,4,27,3,SC,45,1,1,0,0,4,0,33.07,-80,0,0,0.7,37,7.3,9.2,-2.9,-2.3,32.3,0,0.47,59,16,0
57,1950,4,28,3,OK,40,5,3,1,1,5,0,34.88,-99.28,35.17,-99.2,20.8,400,7.3,9.3,-2.6,-1.9,183.9,0,0.48,58,14,17
58,1950,4,28,3,KS,20,1,1,0,0,4,0,38.12,-95.85,38.35,-95.63,19.8,10,7.4,9.4,-2.4,-1.8,203.2,0,0.49,68,17,0
59,1950,4,28,3,TX,48,11,4,5,5,5,0,32.42,-99.5,32.42,-99.48,1.3,233,7.2,9.3,0.5,1.4,340.1,0,0.62,69,18,0
60,1950,4,28,3,OK,40,6,4,32,5,5,0,35.08,-96.4,35.13,-96.35,4.5,200,6.5,8.6,1.2,2.3,452.8,0,0.69,69,19,5
61,1950,4,28,3,OK,40,7,2,0,0,4,0,34.55,-96.2,0,0,0.8,100,7.9,10.1,0.7,1.4,736.1,0,0.6,65,19,30
62,1950,4,29,3,MS,28,10,2,0,0,5,0,31.27,-89.83,31.38,-89.7,11.3,100,7.9,9.5,0.7,1.3,460.6,0,0.6,74,12,0
63,1950,4,29,3,TX,48,12,1,0,0,4,0,31.9,-98.6,31.73,-98.6,11.5,200,8.3,10.1,1,1.5,454.2,0,0.6,69,15,30
64,1950,5,1,3,LA,22,12,1,0,0,5,0,31.7,-93.3,0,0,2,100,9,10.9,0.7,1,492.2,0,0.56,74,1,0
65,1950,5,1,3,MS,28,11,1,0,0,4,0,31.73,-91.07,0,0,0.1,10,9.4,11.3,0.1,0.5,379.3,0,0.52,54,5,0
66,1950,5,1,3,MS,28,12,1,0,0,4,0,31.55,-91.38,0,0,0.1,10,9,10.3,0.5,1,185.3,0,0.55,60,9,0
67,1950,5,1,3,LA,22,13,1,0,0,5,0,31.95,-92.63,32.05,-92.4,15.4,150,6.7,7.9,0.3,1.1,24,0,0.64,60,10,30
68,1950,5,1,3,LA,22,14,2,7,0,5,0,31.55,-92.9,31.57,-92.85,3.6,100,5.1,5.9,-0.2,1.2,0,0,0.68,64,11,25
69,1950,5,1,3,LA,22,15,1,2,0,4,0,31.38,-91.73,0,0,1,100,5.4,5.5,-1.5,0.7,0,0,0.6,57,11,30
70,1950,5,1,3,LA,22,16,0,0,0,4,0,31.75,-92.25,0,0,1,100,5.3,5.3,-2.6,-0.8,0,0,0.55,56,11,30
71,1950,5,2,3,LA,22,17,1,1,0,5,0,31.67,-92.9,32,-92.5,32.8,150,4.8,2.8,-3.2,-1.1,0,0,0.55,75,2,0
72,1950,5,2,3,LA,22,18,2,5,1,5,0,31.55,-91.97,0,0,2,100,4.1,2.1,-2.9,-1.1,0,0,0.59,68,3,0
73,1950,5,4,3,KS,20,2,1,0,0,4,0,38.68,-99.32,0,0,0.1,10,3.7,1.6,-3.3,-1.1,0,0,0.58,65,20,0
74,1950,5,4,3,TX,48,13,2,13,1,5,0,36.4,-100.8,36.42,-100.77,1.9,50,3.5,1.1,-2.7,-1.3,0,0,0.62,69,20,30
75,1950,5,4,3,IA,19,1,1,0,0,1,0,40.95,-95.73,0,0,0.1,10,3.1,1,-1.9,-1,0,0,0.69,56,21,0
76,1950,5,4,3,OK,40,8,2,0,0,4,0,35.25,-99.55,35.32,-99.5,5.6,293,2.9,0.2,-1.8,-1.1,0,0,0.7,59,21,30
77,1950,5,4,3,OK,40,9,1,0,0,3,0,35.58,-99.17,0,0,0.1,10,2.6,-0.7,-1.7,-2,0,0,0.72,50,21,30
78,1950,5,4,3,OK,40,10,2,0,0,5,0,36.57,-99.57,0,0,1,100,2,0.7,-1.9,-1.6,0,0,0.74,65,21,10
79,1950,5,4,3,KS,20,3,4,1,0,5,0,38.03,-99.12,38.45,-98.78,34.3,150,2.2,1.4,-2.1,-1.1,0,0,0.72,58,23,30
80,1950,5,5,3,KS,20,4,3,12,0,5,0,39.62,-95.62,39.85,-95.52,17.3,440,2.9,3.2,-1.5,-0.3,22.3,0,0.72,65,3,30
81,1950,5,7,3,OK,40,11,1,0,0,0,0,36.3,-99.8,0,0,0.1,10,4.4,5.4,-1.2,0.1,174.1,0,0.66,58,18,0
82,1950,5,7,3,OK,40,12,2,3,0,4,0,36.12,-97.83,36.17,-97.78,4.3,10,7.3,9,-1.2,-0.7,437.7,0,0.54,58,23,0
83,1950,5,7,3,OK,40,13,1,0,0,3,0,36,-97,0,0,0.1,10,7.8,10.4,-0.8,-0.8,561.5,0,0.54,58,23,30
84,1950,5,8,3,SD,46,1,1,0,0,3,0,43.38,-97.97,0,0,1,10,6.2,8,0.4,1,217.2,0,0.66,59,4,0
85,1950,5,8,3,FL,12,2,1,0,0,3,0,29.13,-81.35,0,0,0.3,30,5.8,7.5,0.6,1,250.6,0,0.69,65,13,30
86,1950,5,8,3,KS,20,5,2,0,0,5,0,39.35,-98.48,39.47,-98.3,12.6,660,6.3,8.4,-0.1,0.5,545.6,0,0.64,65,18,0
87,1950,5,8,3,KS,20,6,2,1,0,4,0,39.57,-98.3,39.63,-98.2,6.8,10,6.3,8.5,-0.8,-0.4,287.9,0,0.6,68,19,20
88,1950,5,8,3,IA,19,2,2,0,0,0,0,41.03,-95.27,41.02,-95.22,0.1,200,5.7,7.9,-1.1,-0.7,226,0,0.6,69,19,30
89,1950,5,8,3,KS,20,7,2,2,0,4,0,39.23,-98.95,39.23,-98.58,19.6,440,4.1,6,-1.5,-0.8,104.1,0,0.66,69,19,17
90,1950,5,8,3,KS,20,8,1,1,0,4,0,39.4,-97.65,0,0,0.1,10,4.7,6.5,-2.9,-1.6,55,0,0.56,67,21,30
91,1950,5,8,3,KS,20,9,1,0,0,0,0,39.72,-97.77,0,0,0.1,10,4.6,5.8,-2.7,-0.8,13,0,0.58,64,21,10
92,1950,5,8,3,NE,31,1,2,1,0,4,0,40.38,-95.8,40.28,-95.68,8.8,467,4.2,4.5,-3.5,-0.3,0,0,0.55,64,22,1
93,1950,5,9,3,KS,20,10,1,0,0,4,0,39.2,-96.58,0,0,0.1,10,3.9,5.4,-3.6,-1.9,0,0,0.56,74,0,12
94,1950,5,9,3,OK,40,14,1,0,0,4,0,34.77,-96.83,0,0,0.8,200,3.2,4.6,-3.3,-2.5,0,0,0.6,54,20,20
95,1950,5,10,3,WY,56,1,2,0,0,1,0,41.18,-110.42,0,0,2,33,3,4.3,-3.1,-1.6,0,0,0.62,58,13,13
96,1950,5,11,3,OK,40,15,1,0,0,2,0,36.82,-100.52,0,0,0.5,77,2.8,2.7,-3.3,-1.6,0,0,0.62,65,18,0
97,1950,5,12,3,NC,37,1,1,0,0,4,0,35.75,-77.42,0,0,2,10,1.5,0.3,-3.1,-2.6,0,0,0.69,65,14,25
98,1950,5,12,3,NC,37,2,1,0,0,0,0,35.73,-78.4,0,0,1,200,1,0.6,-2.4,-2.9,0,0,0.76,64,17,30
99,1950,5,12,3,NC,37,3,0,0,0,0,0,35.73,-78.4,0,0,1,200,1.1,-1.8,-3,-3.1,0,0,0.72,64,17,25
